,N,p,k,I,f,dt,T,om_max,life
0,1000,15,3.0,0.65,0.1,0.1,625.0,0.025870646766169157,18.361971654333374
1,1000,15,3.0,0.65,0.1,0.1,650.0,0.05870646766169155,70.91433588360717
2,1000,15,3.0,0.65,0.1,0.1,675.0,0.07303482587064676,87.85902420669761
3,1000,15,3.0,0.65,0.1,0.1,700.0,0.0748922056384743,82.91734604289476
4,1000,15,3.0,0.65,0.1,0.1,725.0,0.07462686567164178,79.00413896902045
5,1000,15,3.0,0.65,0.1,0.1,750.0,0.07316749585406301,76.88448513733852
6,1000,15,3.0,0.65,0.1,0.1,775.0,0.07197346600331675,74.07500313558259
7,1000,15,3.0,0.65,0.1,0.1,800.0,0.07237147595356551,75.69296375266524
8,1000,15,3.0,0.65,0.1,0.1,825.0,0.07376680427648989,77.63702495923742
9,1000,15,3.0,0.65,0.1,0.1,850.0,0.07243781094527363,75.19127053806596
10,1000,15,3.0,0.65,0.1,0.1,875.0,0.07316749585406301,73.91195284083783
11,1000,15,3.0,0.65,0.1,0.1,900.0,0.07316749585406301,76.04414900288474
12,1000,20,3.0,0.65,0.1,0.1,625.0,0.028059701492537316,30.665997742380533
13,1000,20,3.0,0.65,0.1,0.1,650.0,0.06202321724709785,128.53380158033363
14,1000,20,3.0,0.65,0.1,0.1,675.0,0.07601990049751245,175.45465947573058
15,1000,20,3.0,0.65,0.1,0.1,700.0,0.07867330016583748,184.29700238304278
16,1000,20,3.0,0.65,0.1,0.1,725.0,0.07940298507462687,199.08440988335633
17,1000,20,3.0,0.65,0.1,0.1,750.0,0.07893864013266999,182.4281951586605
18,1000,20,3.0,0.65,0.1,0.1,775.0,0.07854063018242123,173.79907186755298
19,1000,20,3.0,0.65,0.1,0.1,800.0,0.0782089552238806,157.7825159914712
20,1000,20,3.0,0.65,0.1,0.1,825.0,0.07819942838996508,162.56114386052926
21,1000,20,3.0,0.65,0.1,0.1,850.0,0.07893864013266999,160.679794305782
22,1000,20,3.0,0.65,0.1,0.1,875.0,0.07953565505804312,167.89163426564656
23,1000,20,3.0,0.65,0.1,0.1,900.0,0.07893864013266999,165.7218111125047
24,1000,25,3.0,0.65,0.1,0.1,625.0,0.027197346600331674,47.522889752916086
25,1000,25,3.0,0.65,0.1,0.1,650.0,0.06374792703150912,189.81562774363476
26,1000,25,3.0,0.65,0.1,0.1,675.0,0.07522388059701493,258.54759814373506
27,1000,25,3.0,0.65,0.1,0.1,700.0,0.07907131011608624,287.0813997240687
28,1000,25,3.0,0.65,0.1,0.1,725.0,0.07980099502487562,307.9894644424934
29,1000,25,3.0,0.65,0.1,0.1,750.0,0.07993366500829187,298.78339395459676
30,1000,25,3.0,0.65,0.1,0.1,775.0,0.07966832504145938,309.54471340775115
31,1000,25,3.0,0.65,0.1,0.1,800.0,0.07960199004975124,296.7389941051047
32,1000,25,3.0,0.65,0.1,0.1,825.0,0.07972107547369536,293.2773109243697
33,1000,25,3.0,0.65,0.1,0.1,850.0,0.07966832504145938,275.75567540449015
34,1000,25,3.0,0.65,0.1,0.1,875.0,0.07980099502487562,275.4421171453656
35,1000,25,3.0,0.65,0.1,0.1,900.0,0.08039800995024876,281.33701241690704
36,5000,15,3.0,0.65,0.1,0.1,625.0,0.04202020202020202,17.723453017570662
37,5000,15,3.0,0.65,0.1,0.1,650.0,0.05818181818181819,77.1581359816654
38,5000,15,3.0,0.65,0.1,0.1,675.0,0.08,92.89533995416348
39,5000,15,3.0,0.65,0.1,0.1,700.0,0.08,85.40870893812071
40,5000,15,3.0,0.65,0.1,0.1,725.0,0.07919191919191919,75.17188693659283
41,5000,15,3.0,0.65,0.1,0.1,750.0,0.08,68.60198624904507
42,5000,15,3.0,0.65,0.1,0.1,775.0,0.08,74.56073338426279
43,5000,15,3.0,0.65,0.1,0.1,800.0,0.07919191919191919,74.8663101604278
44,5000,15,3.0,0.65,0.1,0.1,825.0,0.0797872340425532,77.6165011459129
45,5000,15,3.0,0.65,0.1,0.1,850.0,0.08,76.8525592055004
46,5000,15,3.0,0.65,0.1,0.1,875.0,0.08,75.17188693659281
47,5000,15,3.0,0.65,0.1,0.1,900.0,0.07919191919191919,78.99159663865547
48,5000,20,3.0,0.65,0.1,0.1,625.0,0.03151515151515152,21.695951107715814
49,5000,20,3.0,0.65,0.1,0.1,650.0,0.05818181818181819,127.88388082505729
50,5000,20,3.0,0.65,0.1,0.1,675.0,0.08,177.99847211611916
51,5000,20,3.0,0.65,0.1,0.1,700.0,0.08,183.49885408708937
52,5000,20,3.0,0.65,0.1,0.1,725.0,0.08,184.87394957983193
53,5000,20,3.0,0.65,0.1,0.1,750.0,0.08,175.7066462948816
54,5000,20,3.0,0.65,0.1,0.1,775.0,0.08,181.2070282658518
55,5000,20,3.0,0.65,0.1,0.1,800.0,0.08,160.27501909854848
56,5000,20,3.0,0.65,0.1,0.1,825.0,0.0797872340425532,166.84491978609623
57,5000,20,3.0,0.65,0.1,0.1,850.0,0.08,168.67838044308633
58,5000,20,3.0,0.65,0.1,0.1,875.0,0.08,161.95569136745607
59,5000,20,3.0,0.65,0.1,0.1,900.0,0.08,168.3728036669213
60,5000,25,3.0,0.65,0.1,0.1,625.0,0.03474747474747475,14.973262032085561
61,5000,25,3.0,0.65,0.1,0.1,650.0,0.06383838383838385,205.8059587471352
62,5000,25,3.0,0.65,0.1,0.1,675.0,0.08,247.05882352941174
63,5000,25,3.0,0.65,0.1,0.1,700.0,0.08,269.5187165775401
64,5000,25,3.0,0.65,0.1,0.1,725.0,0.08,292.1313980137509
65,5000,25,3.0,0.65,0.1,0.1,750.0,0.08,306.7990832696715
66,5000,25,3.0,0.65,0.1,0.1,775.0,0.08,308.6325439266615
67,5000,25,3.0,0.65,0.1,0.1,800.0,0.08,285.56149732620315
68,5000,25,3.0,0.65,0.1,0.1,825.0,0.0797872340425532,279.90832696715046
69,5000,25,3.0,0.65,0.1,0.1,850.0,0.08,282.50572956455306
70,5000,25,3.0,0.65,0.1,0.1,875.0,0.08,279.6027501909855
71,5000,25,3.0,0.65,0.1,0.1,900.0,0.08,284.4919786096257
